,url,text_content,csv_name
0,https://www.redfin.com/WA/Seattle/10014-59th-Ave-S-98178/home/8186662,"Comfort and convenience await in Rainier Beach! Nestled close to Kubota Gardens, this home offers nearly 3000 square feet of living space with a large level yard, perfect for outdoor gatherings and play. Commuting is a breeze with easy access to light rail, bus, and I-5. Inside, you'll find features that elevate everyday living including an expansive pantry, spacious media room, and top floor utility room! 3 bedrooms & 2 bathrooms located on the upper level. You’ll savor the city views as you enjoy your morning coffee from the primary bedroom balcony. Kitchen opens to dining area and den with a cozy fireplace, creating an inviting ambiance for gatherings. Welcome home! Show less",Redfin98178.csv
1,https://www.redfin.com/WA/Seattle/11603-62nd-Ave-S-98178/home/195634,"Don't miss this diamond in the rough. Conveniently located to I-5 and just over the hill to Renton, I-405 and the Landing this 2320 sf 4-bedroom, 2.25 home is perfect. Big corner lot with mature landscaping. The daylight basement is set up for entertaining with bar and a wood fireplace. Newer vinyl windows on the front of the home. The original wood and cabinets add charm to the kitchen and upstairs. Renton School District. Show less",Redfin98178.csv
2,https://www.redfin.com/WA/Seattle/11601-72nd-Pl-S-98178/home/199566,"Charming, light & bright home just minutes from all the city has to offer! Home features 3 bedrooms, 1.75 baths, new laminate flooring, new windows, new roof, new siding, interior paint, exterior paint, SS appliances, almost new everything! Large windows draw in an abundance of natural light. Easy to entertain with adjoined kitchen and vaulted living room. Separate entrance on lower level to the large backyard.  2 detached garage, with ample space for RV and more!  Perfect location and easy for commuting. Just a short 5 min drive to schools, parks, and The Landing. Under 15 min to Foster Golf, Southcenter, Valley Medical and Seatac Airport. Hurry this cutie wont last long! Show less",Redfin98178.csv
3,https://www.redfin.com/WA/Seattle/11637-76th-Ave-S-98178/home/197895,"Skyway/Bryn Mawr, 4 Bedroom/2 Bath Rambler on Large, Fenced Corner lot. Lots of Natural Light with a Spacious Floor plan for privacy. Fully updated W/ Newly installed 30-year Composite Roof. New Kitchen Cabinets, Stainless Steel Appliances & Quartz Countertops! Updated Bathrooms W/ All new Faucets, Sinks & Porcelain Tile. Primary Bdrm features a Walk-in-Closet & Private Tiled Bath W/Lighted Mirror. New LPV Wood Flooring, Tile, and Carpet throughout. Newly installed Tankless Water Heater, and Full-size Washer/Dryer. LED Ceiling Can Lights lowers electric usage. Storage Shed. Located on a Quiet dead-end street. Close to the Landing, Renton Boeing, Airports, Shopping, Restaurants, Waterfront & Parks. Walking distance to Busline & Transit. Show more",Redfin98178.csv
4,https://www.redfin.com/WA/Tukwila/12542-50th-Pl-S-98178/home/188251,"Attention investors and Developers! This is an incredible opportunity for you to capitalize on a massive opportunity! This property has a residential home on it that needs fixed, it has an ADU, and it has a detached garage! Also, do not miss the sub-dividable lot to maximize your return! The list price for this property reflects the COMBINED value of both the fixer-upper home PLUS the buildable lot. Confirm everything with the city of Tukwila, but there should be no issues with executing this one. There's a potential for a variance to build more than just one home on this lot, but the buyer is to verify all info and conduct their own due diligence. Reach out to inquire. No short-plat or boundary line work has been done yet. Show more",Redfin98178.csv
5,https://www.redfin.com/WA/Seattle/11406-Crestwood-Dr-S-98178/home/176767,"Great location in Seattle but just just 2 miles from Renton Boeing & The Landings! This home is perfect for a first time home buyer! A little love will bring this house back to its glory days! A bedroom, bonus room & 3/4 bathroom upstairs with 3 bedrooms on main, living room w/wood burning fireplace, large sized eat in kitchen & laundry room on main! Home is wired for hot tub outside &has an existing shed for your gardening needs ! Patio with bricks lead to a table and chairs for those warm summer nights You can use your green thumb to add to the landscape both above & on main! Partially fenced yard! Carport can enter into a bedroom or family room with easy access to kitchen for your groceries. Pre- inspected of course! All appliances stay! Show more",Redfin98178.csv
6,https://www.redfin.com/WA/Seattle/12217-Beacon-Ave-S-98178/home/196249,"Don't miss this beautiful home with MIL opportunity! Unique 4 bedroom house that has a separate entrance for the ability to live upstairs and rent the downstairs. Great potential for investors! Gorgeous with natural light upstairs which has two bedrooms, one bath, & kitchen with dining area. Downstairs basement has an additional kitchen with eating area, 2 bedrooms & full bath, can be accessed from upstairs or the separate entrance. Property has easy access to the freeway, close to downtown Seattle, shopping, restaurants and Seattle life! Come see this house today and make it your home now! Show less",Redfin98178.csv
7,https://www.redfin.com/WA/Seattle/6151-S-125th-St-98178/home/196091,"This mid-century home is sure to impress with high vaulted ceilings, exposed wood beams, large windows for maximum natural light and equipped with A/C. The main living room gathers around an incredible gas fireplace with built in shelves. Kitchen has updated appliances and beautiful wood cabinets with plenty of storage & pantry. Downstairs features a large bonus room with custom sconces perfect for office/movie or playroom. Primary bedroom is completed with a 3-piece ensuite and dual closets. Enjoy 4 additional bedrooms. The backyard has a large patio and custom pergola ideal for entertaining guests. Home is complete with a 2-car carport with storage shed built in, closets & extended driveway to a peaceful neighborhood cul-de-sac. Show less",Redfin98178.csv
8,https://www.redfin.com/WA/Seattle/11134-59th-Ave-S-98178/home/196509,NA,Redfin98178.csv
9,https://www.redfin.com/WA/Seattle/12824-65th-Ave-S-98178/home/196344,"Amazing Home w/25x25 detached shop, 100amp service, 220v heater, insulated/drywalled w/built-in hoist & adntl 1 car finished garage, on quiet deadend st. Meticulously kept & updated! Beautiful landscaped yrd, w/patio/garden space, paver lined gravel drvwy & wlkwys to house & garage. Plenty of RV parking.10x10 shed painted to match house. Home & Back deck set up for ADA. Main bdrm w/built-in cabinets, hamper, new LVP flooring & bluetooth fan. New LED lighting & fire/sprinker system throughout. Kitchen refreshed 3 yrs ago, w/new stove, fridge, dishwasher, deep coutry style sink & faucet w/grbg disposal, new counter tops & matching backsplash. Video cameras & door bell w/base station. 5 Mins from Renton, Boeing Field, Seatac, Ferries & Hosp. Show less",Redfin98178.csv
